Sample,Name,Origin,Species,lat,long,Type,Flower_time (day)
R4320,bostan kombostua,Georgia,Brassica napus L.,41.722837,44.861241,Winter,NA
R4321,dsira pchali,Georgia,Brassica napus L.,41.757933,44.797383,Winter,190
R4322,"Belinda, B1/78",Germany,Brassica napus L.,52.5166667,13.3999996,Winter,NA
R4323,Bk 257,Germany,Brassica napus L.,53.55,10,Winter,NA
R4324,Bk 27/78,Germany,Brassica napus L.,48.1376831,11.5743542,Winter,184
R4325,Erra,Germany,Brassica napus L.,50.9333333,6.9499998,Winter,180
R4326,Erglu,Germany,Brassica napus L.,50.1166667,8.6833334,Spring,178
R4327,Adamo,Germany,Brassica napus L.,51.45,7.0166669,Spring,179
R4328,Edita,Germany,Brassica napus L.,48.7823243,9.1770172,Winter,183
R4329,Ridana,Germany,Brassica napus L.,51.5166667,7.4499998,Winter,181
R4330,unknown,Germany,Brassica napus L.,51.2217226,6.7761612,Winter,185
R4331,"Ideal, Gr 6608",Germany,Brassica napus L.,53.0751557,8.8077736,Winter,182
R4332,Libraska,Germany,Brassica napus L.,52.3705163,9.7332211,Winter,NA
R4333,Semu 36/82,Germany,Brassica napus L.,51.33962,12.3712921,Winter,185
R4334,Semu 1002/84,Germany,Brassica napus L.,51.4333333,6.75,Winter,NA
R4335,Lirex,Germany,Brassica napus L.,49.4477778,11.0683336,Winter,184
R4336,Lindora,Germany,Brassica napus L.,51.0508911,13.7383175,Winter,185
R4337,Primander,Germany,Brassica napus L.,51.4833333,7.2166667,Winter,184
R4338,Concord,Germany,Brassica napus L.,51.2666667,7.1833334,Spring,184
R4339,Linetta,Germany,Brassica napus L.,52.0333333,8.5333328,Spring,176
R4340,Ligora,Germany,Brassica napus L.,50.7333333,7.0999999,Winter,182
R4341,unknown,Germany,Brassica napus L.,49.4883333,8.4647226,Winter,179
R4342,Wrg 19 - R,Germany,Brassica napus L.,49.0047222,8.3858337,Winter,184
R4343,Norli,Germany,Brassica napus L.,50.0833333,8.25,Winter,183
R4344,Bk 30/78,Germany,Brassica napus L.,51.9623559,7.6257133,Winter,184
R4345,Libritta,Germany,Brassica napus L.,51.5166667,7.1166668,Winter,186
R4346,Liberator,Germany,Brassica napus L.,50.7766356,6.0834217,Winter,NA
R4347,"Lirakotta, Wre 25",Germany,Brassica napus L.,51.2,6.4333334,Winter,181
R4348,Maxol,Germany,Brassica napus L.,48.3666667,10.8833332,Winter,NA
R4349,Astor,Germany,Brassica napus L.,50.8333333,12.916667,Winter,182
R4350,Askari,Germany,Brassica napus L.,52.2666667,10.5333328,Winter,183
R4351,Lirakotta,Germany,Brassica napus L.,51.4833333,11.9333334,Winter,180
R4352,Columbia,Germany,Brassica napus L.,51.3333333,6.5666666,Winter,184
R4353,"Petranova, Lihonova",Germany,Brassica napus L.,51.5,12,Spring,180
R4354,Elvira,Germany,Brassica napus L.,54.3213293,10.1348877,Winter,180
R4355,Arkona,Germany,Brassica napus L.,52.1666667,11.666667,Winter,NA
R4356,Lirasso,Germany,Brassica napus L.,52.15,11.6333332,Winter,179
R4357,Liquanta,Germany,Brassica napus L.,51.4666667,6.8499999,Winter,185
R4358,Maja,Germany,Brassica napus L.,47.9958954,7.8522205,Winter,185
R4359,Semu 10/82,Germany,Brassica napus L.,53.868927,10.687294,Winter,183
R4360,Semu 59/82,Germany,Brassica napus L.,50.9833333,11.0333328,Winter,184
R4361,Express,Germany,Brassica napus L.,51.35,7.4666667,Winter,180
R4362,Jade,Germany,Brassica napus L.,52.2666667,8.0500002,Winter,NA
R4363,Korinth,Germany,Brassica napus L.,51.1833333,7.0833335,Spring,180
